rank,brand,station_count,customer_friendliness_score,price_level_score,stability_score,markdown_speed_score,avg_span_cents,avg_markdown_by_18_cents
1,V-Markt,35,74.234,99.329,98.752,24.621,1.17,0.76
2,ED,97,72.849,94.584,88.1,35.863,7.74,5.5
3,BK,20,70.365,84.792,79.548,46.755,7.95,8.4
4,Globus SB Warenhaus,49,70.143,92.923,86.301,31.206,7.71,5.14
5,BayWa,41,69.436,68.683,71.261,68.364,9.74,10.37
6,RAN,28,69.304,72.277,62.437,73.199,10.18,13.12
7,Supermarkt-Tankstelle,103,63.976,82.611,59.405,49.911,11.37,9.63
8,AGIP ENI,310,63.867,65.687,85.886,40.027,7.11,6.39
9,Hoyer,71,62.391,80.37,62.901,43.902,10.95,7.51
10,Sprint,84,61.241,73.737,61.951,48.034,10.94,8.71
11,tankpoint,24,61.203,66.957,75.529,41.122,8.47,6.54
12,HEM,354,60.301,65.713,47.658,67.531,12.48,10.65
13,JET,590,59.537,75.864,57.383,45.364,11.48,9.47
14,VR PLUS Energie,24,59.529,83.135,55.29,40.161,11.87,5.83
15,Freie Tankstelle,91,59.309,72.239,63.603,42.084,9.9,7.82
16,Tankstelle,30,58.874,54.989,59.005,62.629,10.91,9.81
17,Unbekannt,266,58.349,70.516,65.522,39.008,9.61,7.28
18,STAR,439,58.197,66.049,53.01,55.532,11.94,9.9
19,Supermarkt,22,57.654,68.781,63.347,40.834,10.88,8.23
20,Freie,22,57.484,68.267,60.081,44.105,9.94,8.03
21,CLASSIC,163,57.467,70.25,67.929,34.222,10.45,7.11
22,AVIA XPress,139,57.442,67.039,57.095,48.192,11.15,9.38
23,Raiffeisen,275,57.438,69.49,63.281,39.542,10.87,7.69
24,AVIA,471,57.234,61.395,62.004,48.302,10.77,9.08
25,Calpam,34,57.228,67.258,50.549,53.877,12.01,9.68
26,Q1,100,56.992,47.124,57.199,66.652,11.23,10.37
27,ORLEN,74,56.974,65.263,49.622,56.037,12.27,10.25
28,BFT,131,56.967,63.018,60.686,47.199,10.55,9.0
29,TAS,23,56.816,42.622,65.736,62.09,10.61,10.04
30,bft - Walther,51,55.887,42.195,49.747,75.721,12.16,12.67
31,NORDOEL,67,55.839,57.64,58.652,51.225,11.28,8.45
32,freie Tankstelle,34,55.786,74.129,64.71,28.52,9.48,5.9
33,Esso,78,55.713,58.604,43.016,65.52,12.77,11.82
34,Bavaria Petrol,23,55.492,52.617,44.706,69.151,12.8,11.32
35,AVEX,21,54.68,47.963,42.731,73.345,12.78,12.57
36,OIL!,187,54.677,43.36,49.568,71.104,12.15,10.94
37,bft,154,53.625,52.272,49.374,59.229,12.02,10.23
38,Tankcenter,42,53.037,58.777,55.452,44.884,11.51,9.4
39,Access,57,52.264,58.944,51.616,46.231,11.92,9.71
40,Markant,54,51.772,38.871,42.805,73.642,12.84,11.92
41,ELAN,64,51.692,58.777,49.506,46.794,12.3,10.38
42,T,38,51.685,58.793,42.909,53.352,12.78,11.23
43,Roth- Energie,24,49.581,64.49,72.646,11.607,9.93,3.19
44,bft-willer,27,47.513,23.979,54.632,63.928,11.94,9.42
45,TotalEnergies,636,46.132,42.67,49.967,45.759,12.26,10.01
46,Westfalen,143,45.678,27.151,42.365,67.519,12.93,11.68
47,team,59,44.016,7.469,48.139,76.439,12.42,13.02
48,SB,163,43.273,44.183,29.268,56.368,14.19,10.82
49,ESSO,794,42.411,13.307,31.469,82.457,14.0,14.87
50,TotalEnergies Autohof,49,41.612,25.834,50.218,48.785,12.02,10.18
51,TotalEnergies Truckstop,30,40.76,25.834,46.577,49.87,12.52,10.33
52,PM,25,40.114,43.574,16.964,59.804,15.31,11.93
53,ARAL,1917,36.687,34.481,36.258,39.323,13.37,10.28
54,SCORE,46,36.116,9.594,33.99,64.764,13.67,11.09
55,Shell,1242,35.491,26.602,38.594,41.278,13.27,10.89
56,Greenline,23,30.906,2.274,0.898,89.547,22.87,24.0
