rank,station_uuid,name,brand,city,post_code,street,house_number,fuels,fuel_count,customer_friendliness_score,price_level_score,stability_score,markdown_speed_score,avg_noon_price_eur_l,avg_span_cents,median_first_markdown_hour_after_12,avg_markdown_by_16_cents,avg_markdown_by_18_cents,avg_markdown_by_22_cents,min_cycle_days,award_tier,award_label,award_top_percent
1,7a5496dd-4710-4dc2-84e2-7a803cea2799,Pelleter GmbH,Bft,Rastatt,76437,Woogseestr.,1,diesel|e10|e5,3,89.524,85.362,97.618,85.592,2.176,3.33,1.0,15.0,15.0,15.0,1,gold,Gold,2.0
2,bc731b7d-a3e8-44c0-8c03-0732fca60554,Tankstelle Huddelbusch,bft,Bad Pyrmont,31812,Bahnhofstr.,64,diesel|e10|e5,3,88.062,90.617,91.753,81.817,2.149,7.0,1.0,13.63,13.67,13.67,1,gold,Gold,2.0
3,8d7ce9eb-ff7c-4a99-97ba-64bcbc6c71db,TS Weyersbusch,A Energie,Weyerbusch,57635,Frankfurter Straße,7,diesel|e10|e5,3,87.752,85.817,91.374,86.066,2.172,7.33,1.0,16.33,16.67,17.0,1,gold,Gold,2.0
4,7f0e4d9f-120c-454f-b8bc-b48ed6a9f1fa,TS Altenkirchen,A Energie,Altenkirchen,57610,Philipp - Reis - Straße,2,diesel|e10|e5,3,87.297,85.817,90.008,86.066,2.172,7.67,1.0,16.33,16.67,17.0,1,gold,Gold,2.0
5,ed6f7afb-4b5c-4c38-90b6-6f04e58b2124,Dittus Brennstoffe oHG,Tankstop 24h,Calw,75365,Schützenstraße,6,diesel|e10|e5,3,86.717,95.716,95.487,68.949,2.119,5.0,1.0,9.67,10.0,10.0,1,gold,Gold,2.0
6,747e8bd0-dd43-4de9-845b-12ad58851e94,24h Tankstelle - Autohaus Bopp,Freie Tankstelle,Schechingen,73579,Leinweiler Straße,15,diesel|e10|e5,3,86.093,92.492,87.748,78.038,2.152,8.33,1.0,8.67,12.33,12.33,1,gold,Gold,2.0
7,2687ccfc-01fc-4869-9afd-50c98c0bc5ea,ENI,AGIP ENI,Messkirch,88605,Mengener Str.,37,diesel|e10|e5,3,86.019,91.323,91.309,75.424,2.159,7.0,1.0,11.67,11.67,11.67,1,gold,Gold,2.0
8,fc0236ed-fef0-42c4-a4f2-088741bc435f,Q1 Tankstelle,Q1,Schwarzenberg,08340,Straße der Einheit,126,diesel|e10|e5,3,85.588,76.895,95.473,84.395,2.194,4.33,1.0,14.33,14.33,14.33,1,gold,Gold,2.0
9,b7a1071e-04e9-456e-88fc-23056d082de3,RAN Station,RAN,Ochsenhausen,88416,Biberacher Str.,7,diesel|e10|e5,3,85.414,84.709,96.733,74.802,2.179,3.67,1.0,10.67,11.0,11.0,1,gold,Gold,2.0
10,7e693db7-2dbe-4cb0-a5ce-5eb19dcc9ab0,RAN Station,RAN,Weingarten,88250,Abt-Hyller-Str.,71,diesel|e10|e5,3,85.22,86.958,96.232,72.471,2.166,4.33,1.0,10.67,10.67,10.67,1,gold,Gold,2.0
11,2dad20b3-7875-45b2-b8a8-2ac80bf88055,Globus Handelshof GmbH & Co. KG Betriebsstätte Hockenheim,Globus SB Warenhaus,Hockenheim,68766,Speyerer Str.,1,diesel|e10|e5,3,85.206,98.102,92.195,65.322,2.076,7.0,1.0,9.0,9.0,9.0,1,gold,Gold,2.0
