rank,station_uuid,name,brand,city,post_code,fuel,fuel_label,customer_friendliness_score,price_level_score,stability_score,markdown_speed_score,noon_price_eur_l,span_cents,first_markdown_hour_after_12,markdown_by_14_cents,markdown_by_16_cents,markdown_by_18_cents,markdown_by_22_cents,cycle_days
1,bc731b7d-a3e8-44c0-8c03-0732fca60554,Tankstelle Huddelbusch,bft,Bad Pyrmont,31812,e5,E5,90.505,92.815,91.682,87.018,2.16,7.0,1.0,15.0,15.0,15.0,15.0,1
2,7a5496dd-4710-4dc2-84e2-7a803cea2799,Pelleter GmbH,Bft,Rastatt,76437,diesel,Diesel,90.441,91.1,97.359,82.864,2.189,4.0,1.0,15.0,15.0,15.0,15.0,1
3,7a5496dd-4710-4dc2-84e2-7a803cea2799,Pelleter GmbH,Bft,Rastatt,76437,e10,E10,89.273,83.156,97.769,86.894,2.139,3.0,1.0,15.0,15.0,15.0,15.0,1
4,7a5496dd-4710-4dc2-84e2-7a803cea2799,Pelleter GmbH,Bft,Rastatt,76437,e5,E5,88.858,81.829,97.726,87.018,2.199,3.0,1.0,15.0,15.0,15.0,15.0,1
5,fc0236ed-fef0-42c4-a4f2-088741bc435f,Q1 Tankstelle,Q1,Schwarzenberg,08340,diesel,Diesel,88.621,85.165,97.834,82.864,2.214,3.0,1.0,15.0,15.0,15.0,15.0,1
6,7b6d25da-46b6-4060-afe0-30f822d67c34,Tankstelle Meurer,Meurer Freie Tankstelle,Alpen,46519,diesel,Diesel,88.373,86.449,95.807,82.864,2.209,5.0,1.0,6.0,12.0,15.0,15.0,1
7,b7a1071e-04e9-456e-88fc-23056d082de3,RAN Station,RAN,Ochsenhausen,88416,e10,E10,88.172,83.156,96.269,85.092,2.139,4.0,1.0,14.0,14.0,14.0,14.0,1
8,7e693db7-2dbe-4cb0-a5ce-5eb19dcc9ab0,RAN Station,RAN,Weingarten,88250,e5,E5,88.15,92.166,97.069,75.215,2.169,4.0,1.0,11.0,11.0,11.0,11.0,1
9,7f0e4d9f-120c-454f-b8bc-b48ed6a9f1fa,TS Altenkirchen,A Energie,Altenkirchen,57610,e10,E10,88.088,83.156,91.881,89.227,2.139,7.0,1.0,18.0,18.0,18.0,18.0,1
9,8d7ce9eb-ff7c-4a99-97ba-64bcbc6c71db,TS Weyersbusch,A Energie,Weyerbusch,57635,e10,E10,88.088,83.156,91.881,89.227,2.139,7.0,1.0,18.0,18.0,18.0,18.0,1
11,bc731b7d-a3e8-44c0-8c03-0732fca60554,Tankstelle Huddelbusch,bft,Bad Pyrmont,31812,diesel,Diesel,87.888,95.881,91.696,76.088,2.149,7.0,1.0,13.0,13.0,13.0,13.0,1
12,b7a1071e-04e9-456e-88fc-23056d082de3,RAN Station,RAN,Ochsenhausen,88416,e5,E5,87.718,81.829,96.096,85.229,2.199,4.0,1.0,14.0,14.0,14.0,14.0,1
13,7f0e4d9f-120c-454f-b8bc-b48ed6a9f1fa,TS Altenkirchen,A Energie,Altenkirchen,57610,e5,E5,87.606,81.829,91.682,89.306,2.199,7.0,1.0,18.0,18.0,18.0,18.0,1
13,8d7ce9eb-ff7c-4a99-97ba-64bcbc6c71db,TS Weyersbusch,A Energie,Weyerbusch,57635,e5,E5,87.606,81.829,91.682,89.306,2.199,7.0,1.0,18.0,18.0,18.0,18.0,1
15,8d7ce9eb-ff7c-4a99-97ba-64bcbc6c71db,TS Weyersbusch,A Energie,Weyerbusch,57635,diesel,Diesel,87.563,92.466,90.559,79.665,2.179,8.0,1.0,13.0,13.0,14.0,15.0,1
16,ed6f7afb-4b5c-4c38-90b6-6f04e58b2124,Dittus Brennstoffe oHG,Tankstop 24h,Calw,75365,diesel,Diesel,87.241,94.821,94.463,72.44,2.159,6.0,1.0,11.0,11.0,12.0,12.0,1
17,ed6f7afb-4b5c-4c38-90b6-6f04e58b2124,Dittus Brennstoffe oHG,Tankstop 24h,Calw,75365,e10,E10,87.203,95.214,95.443,70.953,2.089,5.0,1.0,10.0,10.0,10.0,10.0,1
18,747e8bd0-dd43-4de9-845b-12ad58851e94,24h Tankstelle - Autohaus Bopp,Freie Tankstelle,Schechingen,73579,e10,E10,86.762,92.845,88.53,78.91,2.109,8.0,1.0,7.0,8.0,12.0,12.0,1
19,2687ccfc-01fc-4869-9afd-50c98c0bc5ea,ENI,AGIP ENI,Messkirch,88605,e10,E10,86.724,91.409,93.792,74.97,2.119,6.0,1.0,7.0,11.0,11.0,11.0,1
20,7e62b039-4e5e-4376-bc65-09ebbbc3dbcd,RAN Station,RAN,Gundelfingen,89423,diesel,Diesel,86.696,84.201,93.023,82.864,2.219,7.0,1.0,14.0,14.0,15.0,15.0,1
